title,description,due_date,submission_status
Math Homework,"Complete all exercises on page 10","2024-05-10","Not Started"
Science Project,"Prepare a model volcano","2024-05-15","In Progress"
English Essay,"Write an essay on Shakespeare","2024-05-20","Completed"
History Paper,"Research paper on WWII","2024-05-25","Not Started"
Computer Lab,"Program a simple calculator","2024-05-30","Not Started"
Art Portfolio,"Create a portfolio of sketches","2024-06-05","In Progress"
Geography Quiz,"Study all country capitals","2024-06-10","Completed"
Biology Report,"Document a dissection procedure","2024-06-15","Not Started"
Statistics Assignment,"Analyze provided data sets","2024-06-20","In Progress"
Physical Education Log,"Log 4 weeks of personal fitness activities","2024-06-25","Completed"
